Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1 ","100nF","C_0603",139.580000,-36.390000,0.000000,top
"Q1 ","MMBT3904","SOT-23",147.240000,-46.110000,180.000000,top
"Q2","IRLR7821PBF","TO-252-3_TabPin4",155.060000,-45.740000,180.000000,top
"Q3 ","MMBT3904","SOT-23",147.240000,-38.555000,180.000000,top
"Q4 ","MMBT3904","SOT-23",147.240000,-31.000000,180.000000,top
"Q5","IRLR7821PBF","TO-252-3_TabPin4",155.060000,-38.500000,180.000000,top
"Q6","IRLR7821PBF","TO-252-3_TabPin4",155.060000,-31.260000,180.000000,top
"R1","1K","R_0603",147.240000,-43.300000,180.000000,top
"R2","1K","R_0603",147.240000,-35.730000,180.000000,top
"R3","1K","R_0603",147.280000,-28.180000,180.000000,top
"R4 ","10K","R_0603",147.240000,-48.880000,0.000000,top
"R5 ","10K","R_0603",147.240000,-41.360000,0.000000,top
"R6 ","10K","R_0603",147.240000,-33.790000,0.000000,top
"R7 ","100","R_0603",137.530000,-38.580000,0.000000,top
"R8 ","2.7K","R_0603",140.980000,-38.580000,180.000000,top
"R11 ","33","R_0603",139.890000,-28.480000,0.000000,top
"R12","10K","R_0603",144.310000,-46.140000,90.000000,top
"R13","10K","R_0603",144.370000,-38.590000,90.000000,top
"R14","10K","R_0603",144.350000,-31.080000,90.000000,top
"U1","WS2811","SOP-8",139.540000,-32.360000,90.000000,top
